slovo;vyskyty
originálny;21451
osamelý;11679
osamotený;5695
osekaný;66
oslabený;7236
oslabujúci;598
oslavovaný;810
oslepený;583
oslepujúci;850
oslnený;246
oslnivý;1339
oslobodzujúci;1888
oslávený;1242
oslňujúci;726
osmelený;15
osobitý;6900
osočujúci;110
osožný;1830
osraný;6
osratý;13
ostentatívny;209
ostražitý;2042
ostrieľaný;2770
ostýchavý;395
osvedčený;8881
osvietený;2887
osviežujúci;1900
otlčený;496
otrasný;2857
otravný;2362
otrepaný;1031
otrhaný;1014
otrocký;1091
otrokársky;626
otročiaci;7
otrávený;2417
otupný;438
otužilý;315
otvorený;106660
otĺkaný;16
overený;7353
overiteľný;343
ovplyvniteľný;645
oxidačný;824
ozrutný;1475
očarený;1902
očarujúci;2253
očistený;3432
očistný;1372
očisťujúci;291
ošarpaný;1547
ošklbaný;267
ošklivý;494
ošumelý;548
ošúchaný;2571
oživený;1540
oživujúci;572
ožratý;571
ožívajúci;120
pachtiaci;49
pacifistický;381
padlý;3647
pahltný;111
paličatý;1
pamätný;15213
panický;1277
panovačný;986
papuľnatý;153
paranoidný;836
parodický;586
parodistický;27
parodujúci;106
pasívny;10244
patetický;1647
pažravý;656
peckový;5
pedantný;411
pedantský;65
pejoratívny;424
pekelný;3408
pekný;136059
perfektný;10082
perfídny;180
personalizovaný;300
perspektívny;8378
perverzný;918
pesimistický;3449
pestrý;15919
pevný;51267
pichľavý;1555
pietny;3182
pilný;202
plachý;3914
platný;43112
plauzibilný;26
plačlivý;715
plesnivý;644
plnohodnotný;6825
plnoprávny;1563
plodný;5197
plusový;2455
